EXP_NAME,EXPERIMENTER,MODEL_FAMILY,SEED,N_FOLDS,FEATURE_MODE,SCALER_TYPE,USE_PCA,PCA_N_COMPONENTS,IMBALANCE_MODE,train_size,cv_f1_macro_mean,cv_f1_macro_std,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,colsample_bytree,eval_metric,gamma,learning_rate,max_depth,min_child_weight,n_estimators,n_jobs,objective,random_state,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,use_label_encoder
37A,zuha,xgb,42,7,img+text,none,False,128,scale_pos_weight,1530,0.6222401175085286,0.03441083199815265,,,380.4868335723877,,"grid_search_xgb | md=3, mcw=1, subs=0.7, col=0.6, eta=0.03, ne=1500, gamma=0.0, reg_lambda=1.0, reg_alpha=0.0",0.6,logloss,0.0,0.03,3,1,1500,-1,binary:logistic,42,0.0,1.0,6.5,0.7,hist,False
38A,zuha,xgb,42,7,img+text,none,False,128,scale_pos_weight,1530,0.6396730519530551,0.04422978966985184,,,1338.9303123950958,,"grid_search_xgb | md=3, mcw=1, subs=0.7, col=0.6, eta=0.03, ne=1500, gamma=0.0, reg_lambda=1.0, reg_alpha=0.1",0.6,logloss,0.0,0.03,3,1,1500,-1,binary:logistic,42,0.1,1.0,6.5,0.7,hist,False
39A,zuha,xgb,42,7,img+text,none,False,128,scale_pos_weight,1530,0.6413380630070912,0.038865218783264134,,,397.81176376342773,submissions\XGB\xgb_39A.csv,"grid_search_xgb | md=3, mcw=1, subs=0.7, col=0.6, eta=0.03, ne=1500, gamma=0.0, reg_lambda=5.0, reg_alpha=0.0",0.6,logloss,0.0,0.03,3,1,1500,-1,binary:logistic,42,0.0,5.0,6.5,0.7,hist,False
