EXP_NAME,EXPERIMENTER,MODEL_FAMILY,SEED,N_FOLDS,FEATURE_MODE,SCALER_TYPE,USE_PCA,PCA_N_COMPONENTS,IMBALANCE_MODE,train_size,cv_f1_macro_mean,cv_f1_macro_std,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,C,gamma,kernel,probability,random_state
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.5978869352247831,0.03424177277931092,,,12.349036931991577,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5888070477999949,0.03354813583872815,,,13.002885580062866,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,balanced,scale,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5888070477999949,0.03354813583872815,,,9.487016916275024,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,balanced,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5690132677763383,0.02258709587284537,,,7.402926206588745,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.55998720300294,0.04957719381432046,,,6.661246061325073,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.003,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5979675451138128,0.02844976473673204,,,10.312316656112671,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",3,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5951884515896849,0.029774130584966144,,,11.73605489730835,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5951884515896849,0.029774130584966144,,,9.301043510437012,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.46428545185112613,0.0003747565919194784,,,11.385145664215088,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.6,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.59484483368253,0.03131882744435489,,,9.76021432876587,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.07,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5951884515896849,0.029774130584966144,,,8.80238151550293,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.46428545185112613,0.0003747565919194784,,,9.156223058700562,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.5,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5694052816984072,0.021023186253249657,,,12.173783779144287,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.05,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5951884515896849,0.029774130584966144,,,10.273109912872314,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,64,balanced,1530,0.5664507287877226,0.021159575109073403,,,3.378875255584717,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,maxabs,True,256,balanced,1530,0.46409741608746125,0.0005935822932039107,,,8.875779390335083,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,minmax,True,256,balanced,1530,0.5951884515896849,0.029774130584966144,,,8.609026432037354,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,maxabs,True,256,balanced,1530,0.46409741608746125,0.0005935822932039107,,,8.553410530090332,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,robust,True,256,balanced,1530,0.46428545185112613,0.0003747565919194784,,,9.331668138504028,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,l2_norm,True,256,balanced,1530,0.5532192956837585,0.0442283616016874,,,4.4338579177856445,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,l2_norm,True,256,balanced,1530,0.5486192807353782,0.040363101110021095,,,6.829693078994751,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",15.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,l2_norm,True,256,balanced,1530,0.5532192956837585,0.0442283616016874,,,5.650542497634888,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,balanced,1530,0.5456004485130274,0.02911916553636564,,,5.311300992965698,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,standard,True,256,balanced,1530,0.46428545185112613,0.0003747565919194784,,,18.41729998588562,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,balanced,1530,0.5456004485130274,0.02911916553636564,,,5.592185735702515,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,balanced,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,none,1530,0.5496278144829598,0.035989920213297076,,,3.6051595211029053,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",10.0,0.1,rbf,True,42
exp_rbf_svm,Maryam,rbf_svm,42,5,img+text,none,True,256,none,1530,0.5951010696419412,0.019954898576702785,,,5.947175741195679,submissions\rbf_svm_Maryam_rbfsvm_pca128_v1.csv,"RBF SVM + PCA128, standard scaler.",1.0,scale,rbf,True,42
