commit_hash,date,author,subject,status,file_path,old_file_path
c2a7071b5eb6d4d01b4e80b8a96b96dc1f78e85c,2025-11-16,Maham Junaid,exp3c,A,submissions/mlp_Maham_two_tower.csv,
c2a7071b5eb6d4d01b4e80b8a96b96dc1f78e85c,2025-11-16,Maham Junaid,exp3c,M,submissions/submission.csv,
a144de1238c59677c8c75cd5f738146ba26e0c4b,2025-11-16,maryamihsan,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
0c9886566dc00bb429c9f9bc0d6270f55ede3aed,2025-11-16,maryamihsan,"experiment 12B,  0.5628",M,02-xgboost.ipynb,
0c9886566dc00bb429c9f9bc0d6270f55ede3aed,2025-11-16,maryamihsan,"experiment 12B,  0.5628",M,logs/experiments_log_Maryam.csv,
0c9886566dc00bb429c9f9bc0d6270f55ede3aed,2025-11-16,maryamihsan,"experiment 12B,  0.5628",M,logs/xgboost_Maryam.csv,
0c9886566dc00bb429c9f9bc0d6270f55ede3aed,2025-11-16,maryamihsan,"experiment 12B,  0.5628",M,submissions/xgboost_Maryam.csv,
a5216c791d9433a44424ec1f9879b4e5f3bc5098,2025-11-16,Zuha Aqib,"experiment 23A, 0.6798",M,04-logregression.ipynb,
a5216c791d9433a44424ec1f9879b4e5f3bc5098,2025-11-16,Zuha Aqib,"experiment 23A, 0.6798",M,logs/experiments_log_Zuha.csv,
a5216c791d9433a44424ec1f9879b4e5f3bc5098,2025-11-16,Zuha Aqib,"experiment 23A, 0.6798",M,logs/logreg_Zuha.csv,
a5216c791d9433a44424ec1f9879b4e5f3bc5098,2025-11-16,Zuha Aqib,"experiment 23A, 0.6798",M,submissions/logreg_Zuha.csv,
325975749a18577f196288153ef24249df9cb219,2025-11-16,Zuha Aqib,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
f1c2df2a243b5c0932029ba253db44d9be77905b,2025-11-16,maryamihsan,Merge branch 'main' of https://github.com/z-aqib/ml-competition,,,
54325ce3898186ddc82ad889527ac192ff9a42e0,2025-11-16,maryamihsan,"experiment 11B, 0.5583",M,02-xgboost.ipynb,
54325ce3898186ddc82ad889527ac192ff9a42e0,2025-11-16,maryamihsan,"experiment 11B, 0.5583",M,logs/experiments_log_Maryam.csv,
54325ce3898186ddc82ad889527ac192ff9a42e0,2025-11-16,maryamihsan,"experiment 11B, 0.5583",M,logs/xgboost_Maryam.csv,
54325ce3898186ddc82ad889527ac192ff9a42e0,2025-11-16,maryamihsan,"experiment 11B, 0.5583",M,submissions/xgboost_Maryam.csv,
dab4f6d9d813cae566286648c5c49087f15b763b,2025-11-16,maryamihsan,"experiment 10B, 0.5125",M,02-xgboost.ipynb,
dab4f6d9d813cae566286648c5c49087f15b763b,2025-11-16,maryamihsan,"experiment 10B, 0.5125",M,logs/experiments_log_Maryam.csv,
dab4f6d9d813cae566286648c5c49087f15b763b,2025-11-16,maryamihsan,"experiment 10B, 0.5125",M,logs/xgboost_Maryam.csv,
dab4f6d9d813cae566286648c5c49087f15b763b,2025-11-16,maryamihsan,"experiment 10B, 0.5125",M,submissions/xgboost_Maryam.csv,
21d591a5b65d3e714d631feeb57fdd46a8eb099a,2025-11-16,Zuha Aqib,"experiment 22A, 0.6982",M,04-logregression.ipynb,
21d591a5b65d3e714d631feeb57fdd46a8eb099a,2025-11-16,Zuha Aqib,"experiment 22A, 0.6982",M,logs/experiments_log_Zuha.csv,
21d591a5b65d3e714d631feeb57fdd46a8eb099a,2025-11-16,Zuha Aqib,"experiment 22A, 0.6982",M,logs/logreg_Zuha.csv,
21d591a5b65d3e714d631feeb57fdd46a8eb099a,2025-11-16,Zuha Aqib,"experiment 22A, 0.6982",M,submissions/logreg_Zuha.csv,
ed8ddeb5354e5ab50ceaaaa1fb06f9f51a6954a3,2025-11-16,maryamihsan,"experiment 9B, 0.5296",M,02-xgboost.ipynb,
ed8ddeb5354e5ab50ceaaaa1fb06f9f51a6954a3,2025-11-16,maryamihsan,"experiment 9B, 0.5296",M,logs/experiments_log_Maryam.csv,
ed8ddeb5354e5ab50ceaaaa1fb06f9f51a6954a3,2025-11-16,maryamihsan,"experiment 9B, 0.5296",M,logs/xgboost_Maryam.csv,
ed8ddeb5354e5ab50ceaaaa1fb06f9f51a6954a3,2025-11-16,maryamihsan,"experiment 9B, 0.5296",M,submissions/xgboost_Maryam.csv,
